"","lat","Shannon","biome"
"1",42.5,374.225305893538,"California Coastal Chapparel Forest"
"2",43,196.820337328985,"California Coastal Chapparel Forest"
"3",43.5,223.858919774949,"California Coastal Chapparel Forest"
"4",36.5,188.288368823957,"California Coastal Chapparel Forest"
"5",37,171.935426469277,"California Coastal Chapparel Forest"
"6",37.5,223.962235823631,"California Coastal Chapparel Forest"
"7",38,206.610254503952,"California Coastal Chapparel Forest"
"8",38.5,224.280181034733,"California Coastal Chapparel Forest"
"9",39,387.38342764694,"California Coastal Chapparel Forest"
"10",39.5,386.964941060995,"California Coastal Chapparel Forest"
"11",40,280.895408187254,"California Coastal Chapparel Forest"
"12",40.5,296.396140646522,"California Coastal Chapparel Forest"
"13",41,395.920186877839,"California Coastal Chapparel Forest"
"14",41.5,345.319405293829,"California Coastal Chapparel Forest"
"15",42,314.884457603869,"California Coastal Chapparel Forest"
"16",42.5,37.6835592962809,"California Coastal Chapparel Forest"
"17",33,326.94699264423,"California Coastal Range Open Woodland"
"18",33.5,336.785983146744,"California Coastal Range Open Woodland"
"19",34,333.083611755509,"California Coastal Range Open Woodland"
"20",34.5,335.312501680523,"California Coastal Range Open Woodland"
"21",35,334.039537431546,"California Coastal Range Open Woodland"
"22",35.5,61.3304142249461,"California Coastal Range Open Woodland"
"23",35.5,52.7877365533081,"California Coastal Range Open Woodland"
"24",36,67.665049076832,"California Coastal Range Open Woodland"
"25",36.5,133.27858934698,"California Coastal Range Open Woodland"
"26",37,104.496362020402,"California Coastal Range Open Woodland"
"27",37.5,122.167282575554,"California Coastal Range Open Woodland"
"28",43,20.6564800345575,"Cascade Mixed Forest"
"29",43.5,173.58121821729,"Cascade Mixed Forest"
"30",44,341.61789863156,"Cascade Mixed Forest"
"31",44.5,366.820639944171,"Cascade Mixed Forest"
"32",45,243.106110372591,"Cascade Mixed Forest"
"33",45.5,173.022015907855,"Cascade Mixed Forest"
"34",46,203.425941083453,"Cascade Mixed Forest"
"35",46.5,161.279493821506,"Cascade Mixed Forest"
"36",46,238.900112612978,"Cascade Mixed Forest"
"37",46.5,242.359612161038,"Cascade Mixed Forest"
"38",47,300.765988372906,"Cascade Mixed Forest"
"39",47.5,296.809109879984,"Cascade Mixed Forest"
"40",48,214.319591168457,"Cascade Mixed Forest"
"41",48.5,155.595926345636,"Cascade Mixed Forest"
"42",49,151.445772919913,"Cascade Mixed Forest"
"43",47,20.5471662359646,"Northern Rocky Mountains Forest Steppe"
"44",47.5,94.5671029890042,"Northern Rocky Mountains Forest Steppe"
"45",48,132.57643921888,"Northern Rocky Mountains Forest Steppe"
"46",48.5,152.808044970985,"Northern Rocky Mountains Forest Steppe"
"47",49,148.152650664597,"Northern Rocky Mountains Forest Steppe"
"48",47,144.054246499349,"Northern Rocky Mountains Forest Steppe"
"49",47.5,108.448440221506,"Northern Rocky Mountains Forest Steppe"
"50",48,165.278159726971,"Northern Rocky Mountains Forest Steppe"
"51",48.5,162.606139997382,"Northern Rocky Mountains Forest Steppe"
"52",49,106.528481321253,"Northern Rocky Mountains Forest Steppe"
"53",48,39.7828662885221,"Northern Rocky Mountains Forest Steppe"
"54",48,114.230299544309,"Northern Rocky Mountains Forest Steppe"
"55",48.5,108.245121679141,"Northern Rocky Mountains Forest Steppe"
"56",49,155.490050333041,"Northern Rocky Mountains Forest Steppe"
"57",46.5,159.259224621988,"Middle Rocky Mountain Steppe"
"58",45,187.618998146743,"Middle Rocky Mountain Steppe"
"59",45.5,193.919170246803,"Middle Rocky Mountain Steppe"
"60",46,154.338908472332,"Middle Rocky Mountain Steppe"
"61",44.5,40.408114512336,"Middle Rocky Mountain Steppe"
"62",45,105.479337038567,"Middle Rocky Mountain Steppe"
"63",45.5,189.904084514475,"Middle Rocky Mountain Steppe"
"64",45.5,61.7598433069956,"Middle Rocky Mountain Steppe"
"65",46,156.920855673552,"Middle Rocky Mountain Steppe"
"66",46.5,187.617462350837,"Middle Rocky Mountain Steppe"
"67",47,74.8342773515924,"Middle Rocky Mountain Steppe"
"68",44.5,178.222131951048,"Middle Rocky Mountain Steppe"
"69",45,129.394285319644,"Middle Rocky Mountain Steppe"
"70",45.5,80.9654438664042,"Middle Rocky Mountain Steppe"
"71",38.5,84.5208617670452,"Nevada-Utah Mountains"
"72",39,179.616039278356,"Nevada-Utah Mountains"
"73",39.5,141.446812301995,"Nevada-Utah Mountains"
"74",40,56.8890344971587,"Nevada-Utah Mountains"
"75",39.5,9.00000000000001,"Nevada-Utah Mountains"
"76",40,5,"Nevada-Utah Mountains"
"77",37.5,5.74234749205348,"Nevada-Utah Mountains"
"78",38,172.431987838774,"Nevada-Utah Mountains"
"79",38.5,96.8535311599313,"Nevada-Utah Mountains"
"80",39,51.5061132138769,"Nevada-Utah Mountains"
"81",40,20.1783512514359,"Nevada-Utah Mountains"
"82",32.5,130.623524042604,"Southwest Plateau"
"83",33,112.350706660339,"Southwest Plateau"
"84",33.5,94.1389036528434,"Southwest Plateau"
"85",34,17.7299633409605,"Southwest Plateau"
"86",34.5,82.503501049274,"Southwest Plateau"
"87",35,78.0461693368276,"Southwest Plateau"
"88",35.5,50.6096816944676,"Southwest Plateau"
"89",30.5,283.153801804617,"Southwest Plateau"
"90",31,166.199617666858,"Southwest Plateau"
"91",31.5,230.124410162973,"Southwest Plateau"
"92",32,267.308196079528,"Southwest Plateau"
"93",32.5,200.747296511263,"Southwest Plateau"
"94",33,188.671810675742,"Southwest Plateau"
"95",33.5,174.433954466399,"Southwest Plateau"
"96",34,194.752768709753,"Southwest Plateau"
"97",34.5,184.699424080092,"Southwest Plateau"
"98",35,128.836747682886,"Southwest Plateau"
"99",35.5,154.990939554525,"Southwest Plateau"
"100",36,175.14695758538,"Southwest Plateau"
"101",36.5,44.1142215022492,"Southwest Plateau"
"102",31.5,179.640429723048,"Chihuahuan Semi-Desert"
"103",32,241.776345729793,"Chihuahuan Semi-Desert"
"104",32.5,117.848689196834,"Chihuahuan Semi-Desert"
"105",33,160.080940696265,"Chihuahuan Semi-Desert"
"106",33.5,39.3789199788513,"Chihuahuan Semi-Desert"
"107",31.5,48.1737300568748,"Chihuahuan Semi-Desert"
"108",32,25.9612357658094,"Chihuahuan Semi-Desert"
"109",32.5,89.9610521867078,"Chihuahuan Semi-Desert"
"110",33,36.3666152569688,"Chihuahuan Semi-Desert"
"111",30.5,198.973065291795,"Chihuahuan Semi-Desert"
"112",31,112.182883679447,"Chihuahuan Semi-Desert"
